"Wavelength","ATTO 390 EM"
404,0.00113333332121212
405,0.000933333330303031
406,0.000852380958225108
407,0.000890476204978355
408,0.00104761907056277
409,0.00134199138225108
410,0.0016753247060606
411,0.00211255418268398
412,0.00267532473419913
413,0.00325108227359307
414,0.00401731611948051
415,0.00501731609610389
416,0.00606926413116882
417,0.00761471855108224
418,0.00920779225238094
419,0.0112683984264069
420,0.0135714286619047
421,0.0162900435454545
422,0.0196190479670995
423,0.0234891777705627
424,0.0279004334155844
425,0.0330259748917748
426,0.0385497845497835
427,0.045043291095238
428,0.0521688316147185
429,0.0603419913809523
430,0.069645021142857
431,0.0802510814502163
432,0.0918658002467531
433,0.104818181571428
434,0.118974025852814
435,0.134640692822511
436,0.151753247662337
437,0.170069262554112
438,0.189787877705627
439,0.210645021904762
440,0.232532466709956
441,0.255783548311688
442,0.280311686623376
443,0.305987011515151
444,0.332831168917748
445,0.360718612424242
446,0.389523804805194
447,0.419164502077921
448,0.449541122813852
449,0.480441553030302
450,0.511675324112553
451,0.543012984632034
452,0.574181818787878
453,0.605147189307359
454,0.635341994242423
455,0.665038968095237
456,0.694064943463202
457,0.72226840082251
458,0.749805199523808
459,0.777168823679653
460,0.803844143636362
461,0.82929869138528
462,0.852705615151514
463,0.873939383766233
464,0.892956707186146
465,0.909796535454544
466,0.925471864069263
467,0.940441555714284
468,0.954549779090908
469,0.967073590606059
470,0.977402588874458
471,0.985567096450215
472,0.991389613766232
473,0.995285722380951
474,0.997930749264068
475,0.999536808398267
476,0.999900438961038
477,0.998978355108224
478,0.996510806709955
479,0.992138513549782
480,0.986116872987012
481,0.978987000562769
482,0.9713809512987
483,0.963493507619046
484,0.954991346666665
485,0.945874468051947
486,0.935541132077921
487,0.923926411948051
488,0.911606065497834
489,0.898796543203462
490,0.885822520389609
491,0.872545458138527
492,0.858653688398267
493,0.844056285887445
494,0.828748923376622
495,0.813432893376622
496,0.798186138484847
497,0.783311684415583
498,0.768675324675324
499,0.754324674415583
500,0.739779229826839
501,0.724935069567099
502,0.709549782683982
503,0.693952372770562
504,0.678138525064934
505,0.662480517316016
506,0.64692641047619
507,0.631757578354977
508,0.616926413246752
509,0.602389611385281
510,0.588017312640692
511,0.573696968181817
512,0.559757575324675
513,0.546064935844155
514,0.532640694675324
515,0.519844159783549
516,0.507281392251081
517,0.494800874978354
518,0.482116891255411
519,0.469142863376623
520,0.456186145367965
521,0.44332900021645
522,0.431034626666666
523,0.419298694199134
524,0.407787874285714
525,0.396415585800865
526,0.385251083766233
527,0.37418615064935
528,0.363220782683982
529,0.352463204978354
530,0.342129871515151
531,0.332064931471861
532,0.322359299653679
533,0.312835491688311
534,0.303848478701298
535,0.294956705108225
536,0.28625108
537,0.277645021341991
538,0.269160172337662
539,0.261017316017316
540,0.252926404891775
541,0.245129872727272
542,0.237783554155844
543,0.230532468398268
544,0.223645022770562
545,0.216878785930736
546,0.210190472077922
547,0.203735926406926
548,0.197160171471861
549,0.191017317402597
550,0.185017317575757
551,0.179160172467532
552,0.173645022034632
553,0.168251083290043
554,0.162956712121212
555,0.157939394372294
556,0.15295671060606
557,0.148341991298701
558,0.143675324415584
559,0.139112553203463
560,0.134584416450216
561,0.13031169004329
562,0.12609524069264
563,0.122311688917749
564,0.118584414675325
565,0.115112554112554
566,0.111675324766234
567,0.108341991190476
568,0.105047618757576
569,0.101969696662338
570,0.0989090917402596
571,0.0960000010735929
572,0.0929090916709955
573,0.0899696974545453
574,0.0870476200519479
575,0.084341992142857
576,0.0816753257748917
577,0.079203464147186
578,0.0767056286147185
579,0.0742034636103895
580,0.0716753238614718
581,0.0693419900346319
582,0.0670476184069263
583,0.0649696967186146
584,0.0629090914199133
585,0.0610000005454545
586,0.0589090908571428
587,0.0569696971818181
588,0.055047619103896
589,0.0533419915194805
590,0.0517662335497835
591,0.0501428570129869
592,0.0485367964025973
593,0.047060606073593
594,0.0454502166147185
595,0.0439696971991341
596,0.0425974032857142
597,0.0413116892207792
598,0.040000000077922
599,0.0385974023290043
600,0.0372813849696969
601,0.0361385278008658
602,0.0349696973333333
603,0.0339090913593073
604,0.0330000006753246
605,0.0320000004761904
606,0.0309999999004329
607,0.0299999995714285
608,0.0289090907445887
609,0.02796969704329
610,0.0271385288917749
611,0.0263722952943723
612,0.0255367973463203
613,0.0248311692034632
614,0.0241688313073593
615,0.0233722943419913
616,0.0225974025064935
617,0.0219090909090909
618,0.0213722944632034
619,0.0208571428874459
620,0.020142857004329
621,0.0196277050735931
622,0.0189999993116883
623,0.0183722937878788
624,0.0177662334805195
625,0.0172034634588744
626,0.0167056284588744
627,0.0162943732164502
628,0.0157056285151515
629,0.0152034635757576
630,0.0147662339047619
631,0.0143722943419913
632,0.0139999999090909
633,0.0136277056277056
634,0.0131428571428571
635,0.0128571428571428
636,0.0123722943722944
637,0.0119090909090909
638,0.0116883117064935
639,0.0113116883177489
640,0.0109999999722944
641,0.0106883116320346
642,0.0103116881922078
643,0.00999999979999999
644,0.0095974023168831
645,0.00937229395584414
646,0.00916883077229436
647,0.00883116853593072
648,0.00853679641645021
649,0.00846320358354977
650,0.00816883146406925
651,0.00783116922770562
652,0.00753679693506493
653,0.00737229464675324
654,0.00722943746623376
655,0.00700000019696969
656,0.00677056293852813
657,0.00662770579047618
658,0.0063722945095238
659,0.00613852825238094
660,0.00606060617575757
661,0.00593939403636363
662,0.00586147193376622
663,0.00562770565324675
664,0.00537229434675324
665,0.00513852806623376
666,0.00496969686363636
667,0.00499999985454545
668,0.00503030292121211
669,0.0048614718030303
670,0.00462770563939393
671,0.00437229446060605
672,0.00413852829696969
673,0.00396969717878787
674,0.00390909113636363
675,0.00400000019999999
676,0.0040909093090909
677,0.00403030323636363
678,0.00386147203376623
679,0.00362770575324675
680,0.00337229444675324
681,0.00313852816623376
682,0.00296969696363636
683,0.00290909089090909
684,0.003
685,0.003
686,0.003
687,0.003
688,0.00309090908181818
689,0.00303030302727272
690,0.00286147187532467
691,0.00262770566493506
692,0.00237229443506493
693,0.00213852822467532
694,0.00196969707272727
695,0.00190909101818182
696,0.0020000001
697,0.0020000001
698,0.0020000001
699,0.0020000001
700,0.0020000001
701,0.0020000001
702,0.0020000001
703,0.0020000001
704,0.0020000001
705,0.0020000001
706,0.0020000001
707,0.0020000001
708,0.0020000001
709,0.0020909092
710,0.00203030313333333
711,0.00186147194761905
712,0.00162770569047619
713,0.00137229440952381
714,0.00113852815238095
715,0.000969696966666665
716,0.000909090899999999
717,0.000999999999999999
718,0.000999999999999999
719,0.000999999999999999
720,0.000999999999999999
721,0.000999999999999999
722,0.000999999999999999
723,0.000999999999999999
724,0.000999999999999999
725,0.000999999999999999
726,0.000999999999999999
727,0.000999999999999999
728,0.000999999999999999
729,0.000999999999999999